,ADT,POMDP
0,22,73
1,45,35
2,51,47
3,38,45
4,85,64
5,73,67
6,94,51
7,24,53
8,25,27
9,90,78
10,52,61
11,63,61
12,60,127
13,193,130
14,22,24
15,32,68
16,39,71
17,68,78
18,44,70
19,16,36
20,27,27
21,57,61
22,51,118
23,44,44
24,10,28
25,69,65
26,16,58
27,35,42
28,98,98
29,107,51
30,41,42
31,60,66
32,63,54
33,104,104
34,30,32
35,50,64
36,90,121
37,97,55
38,30,19
39,26,26
40,47,59
41,21,21
42,41,38
43,81,81
44,62,71
45,11,24
46,81,90
47,45,45
48,91,112
49,37,52
50,82,76
51,120,120
52,78,138
53,39,64
54,57,84
55,170,66
56,36,42
57,61,54
58,63,40
59,88,89
60,34,39
61,19,40
62,80,71
63,70,75
64,19,19
65,183,129
66,50,72
67,26,35
68,71,93
69,16,16
70,42,63
71,160,87
72,91,78
73,71,66
74,38,85
75,20,31
76,61,108
77,42,44
78,25,19
79,36,36
80,78,54
81,38,42
82,25,35
83,53,53
84,93,75
85,169,98
86,14,44
87,22,30
88,41,40
89,23,37
90,58,58
91,173,113
92,24,34
93,145,72
94,54,83
95,78,41
96,17,17
97,52,71
98,67,85
99,53,47
