,ADT,Short,Medium,Long
0,49,50,50,61
1,29,32,32,32
2,17,18,18,21
3,23,23,23,23
4,49,29,29,66
5,56,56,56,84
6,16,23,23,18
7,28,26,26,97
8,39,38,38,39
9,21,26,23,200
10,77,87,84,120
11,33,35,35,35
12,14,53,53,14
13,120,44,44,67
14,46,26,26,46
15,71,31,31,200
16,48,38,47,53
17,53,59,40,61
18,44,36,36,47
19,148,57,57,200
20,15,50,42,82
21,68,72,72,68
22,25,68,68,200
23,29,38,50,27
24,77,81,80,82
25,49,89,89,27
26,36,36,36,30
27,21,50,132,193
28,68,55,51,45
29,24,61,61,61
30,40,33,45,37
31,59,37,37,175
32,63,56,56,10
33,99,76,76,76
34,52,56,56,70
35,41,40,40,41
36,37,73,79,173
37,18,20,20,30
38,35,174,136,193
39,73,59,59,69
40,24,37,41,49
41,49,67,67,121
42,85,60,60,153
43,51,50,50,107
44,38,61,38,38
45,43,38,38,53
46,69,64,64,66
47,13,72,72,68
48,58,172,171,181
49,33,33,39,44
50,25,41,38,49
51,22,31,31,67
52,84,84,84,92
53,26,21,21,41
54,80,59,64,78
55,48,39,39,35
56,64,34,34,161
57,200,100,48,14
58,72,35,35,97
59,49,43,43,55
60,37,56,29,200
61,54,44,44,56
62,105,54,60,112
63,119,118,118,127
64,25,24,24,25
65,62,58,62,62
66,12,37,37,55
67,49,45,46,52
68,25,29,29,27
69,92,77,77,147
70,117,133,132,165
71,47,36,36,200
72,27,27,27,37
73,17,83,83,55
74,59,56,79,59
75,17,61,18,17
76,29,29,29,15
77,12,70,70,103
78,75,43,37,114
79,36,35,34,36
80,13,34,34,71
81,33,30,30,30
82,75,75,75,77
83,40,29,29,46
84,114,71,71,88
85,47,31,27,76
86,69,64,65,88
87,102,87,87,82
88,41,32,32,38
89,42,71,68,103
90,21,82,93,163
91,41,34,34,65
92,86,58,58,98
93,26,28,27,27
94,39,59,53,58
95,62,50,50,62
96,18,46,47,18
97,114,74,74,103
98,54,40,40,54
99,17,19,56,43
