,tumor_state,resistance_state,treatment_state,tumor_beliefs,resistance_beliefs,treatment_beliefs,policy,expected_utility,expected_info_gain,expected_states_under_best_policy,resistance_entropy
0,1,0,dont treat,"[1.23332573e-03 1.59215502e-01 6.87446309e-01 1.51321343e-01
 7.83520675e-04 1.00676380e-16]",[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[1.00000000e+00 2.35501306e-16],"[[1 1 1]
 [1 1 1]
 [1 1 1]
 [1 1 1]]",-10.709422904579176,2.9397186702012297,"[array([array([6.60921567e-02, 3.55161976e-01, 4.02499763e-01, 1.56867353e-01,
              1.92808109e-02, 9.79400844e-05])                               ,
       array([0.08333333, 0.16666667, 0.16666667, 0.16666667, 0.16666667,
              0.25      ])                                               ,
       array([0., 1.])], dtype=object), array([array([0.18495904, 0.33036735, 0.30679873, 0.14272359, 0.03229305,
              0.00285824])                                               ,
       array([0.04166667, 0.125     , 0.16666667, 0.16666667, 0.16666667,
              0.33333333])                                               ,
       array([0., 1.])], dtype=object), array([array([0.26089606, 0.2991769 , 0.25798786, 0.133956  , 0.04079435,
              0.00718884])                                               ,
       array([0.02083333, 0.08333333, 0.14583333, 0.16666667, 0.16666667,
              0.41666667])                                               ,
       array([0., 1.])], dtype=object), array([array([0.30010174, 0.28060885, 0.22984647, 0.12934295, 0.04772497,
              0.01237503])                                               ,
       array([0.01041667, 0.05208333, 0.11458333, 0.15625   , 0.16666667,
              0.5       ])                                               ,
       array([0., 1.])], dtype=object)]",1.791759469228055
1,1,0,treat,"[6.62259804e-02 4.68605953e-01 4.02467059e-01 6.26759614e-02
 2.49194683e-05 1.26582582e-07]",[0.08333333 0.16666667 0.16666667 0.16666667 0.16666667 0.25      ],[0.17798009 0.82201991],"[[1 1 1]
 [1 1 1]
 [1 1 1]
 [1 1 1]]",-10.186910565579987,2.8560952188214954,"[array([array([2.26102366e-01, 3.86340624e-01, 2.89166085e-01, 8.92868771e-02,
              9.10035379e-03, 3.69412478e-06])                               ,
       array([0.04166667, 0.125     , 0.16666667, 0.16666667, 0.16666667,
              0.33333333])                                               ,
       array([0., 1.])], dtype=object), array([array([0.31331168, 0.32912508, 0.24082904, 0.09604074, 0.01921215,
              0.00148132])                                               ,
       array([0.02083333, 0.08333333, 0.14583333, 0.16666667, 0.16666667,
              0.41666667])                                               ,
       array([0., 1.])], dtype=object), array([array([0.35177378, 0.30108025, 0.21511626, 0.09978049, 0.02778116,
              0.00446806])                                               ,
       array([0.01041667, 0.05208333, 0.11458333, 0.15625   , 0.16666667,
              0.5       ])                                               ,
       array([0., 1.])], dtype=object), array([array([0.36188455, 0.28872645, 0.20195753, 0.103303  , 0.03551684,
              0.00861162])                                               ,
       array([0.00520833, 0.03125   , 0.08333333, 0.13541667, 0.16145833,
              0.58333333])                                               ,
       array([0., 1.])], dtype=object)]",1.7481554572476758
2,1,1,treat,"[1.04855795e-01 7.62190764e-01 1.32625371e-01 3.28069645e-04
 2.63887323e-18 1.07120308e-21]",[0.04166667 0.125      0.16666667 0.16666667 0.16666667 0.33333333],[2.08031833e-32 1.00000000e+00],"[[1 1 1]
 [1 1 1]
 [1 1 1]
 [1 1 1]]",-9.51865141248516,2.407766942149283,"[array([array([3.32352932e-01, 4.53388268e-01, 1.92484363e-01, 2.17211255e-02,
              5.33113173e-05, 4.29544425e-19])                               ,
       array([0.02083333, 0.08333333, 0.14583333, 0.16666667, 0.16666667,
              0.41666667])                                               ,
       array([0., 1.])], dtype=object), array([array([4.02953766e-01, 3.57329463e-01, 1.89984981e-01, 4.58382166e-02,
              3.88411018e-03, 9.46275882e-06])                               ,
       array([0.01041667, 0.05208333, 0.11458333, 0.15625   , 0.16666667,
              0.5       ])                                               ,
       array([0., 1.])], dtype=object), array([array([0.41772064, 0.32318261, 0.18494017, 0.06253352, 0.01087683,
              0.00074624])                                               ,
       array([0.00520833, 0.03125   , 0.08333333, 0.13541667, 0.16145833,
              0.58333333])                                               ,
       array([0., 1.])], dtype=object), array([array([0.40812102, 0.31035502, 0.18455693, 0.0752653 , 0.01893848,
              0.00276325])                                               ,
       array([0.00260417, 0.01822917, 0.05729167, 0.109375  , 0.1484375 ,
              0.6640625 ])                                               ,
       array([0., 1.])], dtype=object)]",1.654432933144541
3,1,2,treat,"[7.92819498e-01 2.06559520e-01 6.20981507e-04 6.17696140e-18
 1.51604460e-20 2.85597273e-32]",[0.02083333 0.08333333 0.14583333 0.16666667 0.16666667 0.41666667],[1.68506071e-32 1.00000000e+00],"[[0 0 0]
 [0 0 0]
 [0 0 0]
 [1 1 1]]",-9.348202162749027,2.098429106978034,"[array([array([5.54973649e-01, 3.82437514e-01, 6.24025432e-02, 1.86294452e-04,
              1.86370073e-18, 4.54813380e-21])                               ,
       array([0.02929824, 0.08968202, 0.14794956, 0.16666667, 0.1920614 ,
              0.37434211])                                               ,
       array([1., 0.])], dtype=object), array([array([3.88481554e-01, 4.34198354e-01, 1.58413034e-01, 1.88511691e-02,
              5.58883357e-05, 5.63658354e-19])                               ,
       array([0.04395636, 0.09920558, 0.15100879, 0.17081732, 0.22185435,
              0.31315761])                                               ,
       array([1., 0.])], dtype=object), array([array([2.71937088e-01, 4.20483314e-01, 2.41148630e-01, 6.07197286e-02,
              5.69447256e-03, 1.67665007e-05])                               ,
       array([0.06653858, 0.11099757, 0.15551781, 0.18243491, 0.24263776,
              0.24187336])                                               ,
       array([1., 0.])], dtype=object), array([array([0.37278762, 0.33662495, 0.20754718, 0.06988763, 0.01226226,
              0.00089036])                                               ,
       array([0.03326929, 0.08876808, 0.13325769, 0.16897636, 0.21253633,
              0.36319224])                                               ,
       array([0., 1.])], dtype=object)]",1.5305289562032256
4,0,2,dont treat,"[7.09241439e-01 2.81885946e-01 8.87261443e-03 1.21170338e-09
 6.62545714e-22 6.50453344e-22]",[0.02929824 0.08968202 0.14794956 0.16666667 0.1920614  0.37434211],[0.67335119 0.32664881],"[[0 0 0]
 [0 0 0]
 [0 0 0]
 [1 1 1]]",-9.421566277067765,2.2268104638543194,"[array([array([4.96469007e-01, 4.10092594e-01, 9.07766138e-02, 2.66178518e-03,
              3.63511015e-10, 8.49217058e-22])                               ,
       array([0.04007734, 0.09668533, 0.15019922, 0.16971892, 0.21397016,
              0.32934903])                                               ,
       array([1., 0.])], dtype=object), array([array([3.47528305e-01, 4.36005518e-01, 1.86571408e-01, 2.90962338e-02,
              7.98535807e-04, 1.09053305e-10])                               ,
       array([0.05775489, 0.10646959, 0.15376812, 0.17780963, 0.23506555,
              0.26913222])                                               ,
       array([1., 0.])], dtype=object), array([array([2.43269814e-01, 4.09462354e-01, 2.61401641e-01, 7.63387859e-02,
              9.28784519e-03, 2.39560851e-04])                               ,
       array([0.08410996, 0.11817769, 0.15971926, 0.19198254, 0.24349828,
              0.20251226])                                               ,
       array([1., 0.])], dtype=object), array([array([0.35310347, 0.33226168, 0.21738152, 0.07977215, 0.01595703,
              0.00152415])                                               ,
       array([0.04205498, 0.10114382, 0.13894847, 0.1758509 , 0.21774041,
              0.32426141])                                               ,
       array([0., 1.])], dtype=object)]",1.585750139726417
5,1,2,dont treat,"[8.63554321e-01 1.36232139e-01 2.13540326e-04 5.51935435e-19
 7.53759797e-26 2.07357125e-32]",[0.04007734 0.09668533 0.15019922 0.16971892 0.21397016 0.32934903],[1.00000000e+00 1.49582666e-32],"[[0 0 0]
 [0 0 0]
 [0 0 0]
 [1 1 1]]",-9.306401381431158,1.9854492802830666,"[array([array([6.04488025e-01, 3.54428793e-01, 4.10191199e-02, 6.40620979e-05,
              1.65580683e-19, 2.26128146e-26])                               ,
       array([0.04852167, 0.10135914, 0.15190403, 0.17358375, 0.22404715,
              0.30058426])                                               ,
       array([1., 0.])], dtype=object), array([array([4.23141617e-01, 4.29446563e-01, 1.35042022e-01, 1.23505794e-02,
              1.92186294e-05, 4.96742276e-20])                               ,
       array([0.06358028, 0.10886844, 0.15512492, 0.18108094, 0.23541803,
              0.25592739])                                               ,
       array([1., 0.])], dtype=object), array([array([2.96199132e-01, 4.27555079e-01, 2.23363384e-01, 4.91580122e-02,
              3.71862687e-03, 5.76558881e-06])                               ,
       array([0.08668729, 0.11868624, 0.16063401, 0.19261383, 0.23977108,
              0.20160755])                                               ,
       array([1., 0.])], dtype=object), array([array([0.40550988, 0.33529201, 0.19108684, 0.05849781, 0.00906374,
              0.00054973])                                               ,
       array([0.04334365, 0.10268677, 0.13966013, 0.17662392, 0.21619245,
              0.32149309])                                               ,
       array([0., 1.])], dtype=object)]",1.6362858065163768
6,2,2,dont treat,"[8.72604255e-15 6.62971368e-02 9.27366282e-01 6.33658164e-03
 2.29822308e-15 2.07816112e-17]",[0.04852167 0.10135914 0.15190403 0.17358375 0.22404715 0.30058426],[1.00000000e+00 8.69267529e-32],"[[1 1 1]
 [1 1 1]
 [1 1 1]
 [1 1 1]]",-10.649264583999743,2.769779152040613,"[array([array([2.12214013e-02, 3.31127060e-01, 4.92352916e-01, 1.54266923e-01,
              1.03169880e-03, 3.88317703e-16])                               ,
       array([0.02426083, 0.07494041, 0.12663159, 0.16274389, 0.19881545,
              0.41260784])                                               ,
       array([0., 1.])], dtype=object), array([array([1.10977296e-01, 3.21230698e-01, 3.67988109e-01, 1.71462791e-01,
              2.81565185e-02, 1.84587897e-04])                               ,
       array([0.01213042, 0.04960062, 0.100786  , 0.14468774, 0.18077967,
              0.51201556])                                               ,
       array([0., 1.])], dtype=object), array([array([0.17044976, 0.29258181, 0.30956767, 0.17318737, 0.04866361,
              0.00554977])                                               ,
       array([0.00606521, 0.03086552, 0.07519331, 0.12273687, 0.1627337 ,
              0.60240539])                                               ,
       array([0., 1.])], dtype=object), array([array([0.20193722, 0.27160839, 0.27529883, 0.17275488, 0.06421873,
              0.01418194])                                               ,
       array([0.0030326 , 0.01846536, 0.05302941, 0.09896509, 0.14273529,
              0.68377225])                                               ,
       array([0., 1.])], dtype=object)]",1.6655219580763396
7,2,2,treat,"[2.11510300e-02 4.20725383e-01 4.89810055e-01 6.83106315e-02
 2.90076807e-06 1.37297474e-18]",[0.02426083 0.07494041 0.12663159 0.16274389 0.19881545 0.41260784],[0.17949412 0.82050588],"[[1 1 1]
 [1 1 1]
 [1 1 1]
 [1 1 1]]",-10.891976097488161,3.016064551030223,"[array([array([1.36233574e-01, 3.68753327e-01, 3.58364171e-01, 1.24424952e-01,
              1.22234585e-02, 5.18995152e-07])                               ,
       array([0.01213042, 0.04960062, 0.100786  , 0.14468774, 0.18077967,
              0.51201556])                                               ,
       array([0., 1.])], dtype=object), array([array([0.20280563, 0.32145031, 0.30151612, 0.14116446, 0.03071377,
              0.00234971])                                               ,
       array([0.00606521, 0.03086552, 0.07519331, 0.12273687, 0.1627337 ,
              0.60240539])                                               ,
       array([0., 1.])], dtype=object), array([array([0.2342433 , 0.29284249, 0.26933092, 0.14878198, 0.04674291,
              0.0080584 ])                                               ,
       array([0.0030326 , 0.01846536, 0.05302941, 0.09896509, 0.14273529,
              0.68377225])                                               ,
       array([0., 1.])], dtype=object), array([array([0.24460953, 0.27559133, 0.24959738, 0.15342719, 0.06045388,
              0.0163207 ])                                               ,
       array([0.0015163 , 0.01074898, 0.03574739, 0.07599725, 0.12085019,
              0.75513989])                                               ,
       array([0., 1.])], dtype=object)]",1.527980024924169
8,1,2,treat,"[5.18464387e-04 1.81166664e-01 7.60186854e-01 5.80984647e-02
 2.95529986e-05 1.61230752e-22]",[0.01213042 0.04960062 0.100786   0.14468774 0.18077967 0.51201556],[2.0915906e-32 1.0000000e+00],"[[1 1 1]
 [1 1 1]
 [1 1 1]
 [1 1 1]]",-11.536817127175963,2.942130818578762,"[array([array([4.59892894e-02, 2.92092646e-01, 4.72297990e-01, 1.78431569e-01,
              1.11828243e-02, 5.68001517e-06])                               ,
       array([0.00606521, 0.03086552, 0.07519331, 0.12273687, 0.1627337 ,
              0.60240539])                                               ,
       array([0., 1.])], dtype=object), array([array([0.10265098, 0.28281681, 0.3692829 , 0.20033854, 0.04263453,
              0.00227624])                                               ,
       array([0.0030326 , 0.01846536, 0.05302941, 0.09896509, 0.14273529,
              0.68377225])                                               ,
       array([0., 1.])], dtype=object), array([array([0.13887383, 0.26233252, 0.31629723, 0.20383401, 0.06780957,
              0.01085284])                                               ,
       array([0.0015163 , 0.01074898, 0.03574739, 0.07599725, 0.12085019,
              0.75513989])                                               ,
       array([0., 1.])], dtype=object), array([array([0.15780038, 0.24541439, 0.28329029, 0.20289274, 0.08692037,
              0.02368182])                                               ,
       array([7.58151089e-04, 6.13264312e-03, 2.32481864e-02, 5.58723197e-02,
              9.84237186e-02, 8.15564981e-01])                               ,
       array([0., 1.])], dtype=object)]",1.3654568424010534
9,0,3,treat,"[4.49055146e-01 5.44707973e-01 6.23688132e-03 2.07698055e-16
 1.30170398e-17 6.61165569e-21]",[0.00606521 0.03086552 0.07519331 0.12273687 0.1627337  0.60240539],[3.0609459e-32 1.0000000e+00],"[[0 0 0]
 [0 0 0]
 [1 1 1]
 [1 1 1]]",-9.463829528359799,2.3327376424397968,"[array([array([3.14338602e-01, 5.16012125e-01, 1.67778209e-01, 1.87106440e-03,
              7.14213443e-17, 3.91172361e-18])                               ,
       array([0.01136246, 0.03847321, 0.0833529 , 0.12960126, 0.23819168,
              0.4990185 ])                                               ,
       array([1., 0.])], dtype=object), array([array([2.20037021e-01, 4.55510068e-01, 2.72248384e-01, 5.16432077e-02,
              5.61319319e-04, 2.53381269e-17])                               ,
       array([0.02046524, 0.04909177, 0.09429529, 0.15529383, 0.29990348,
              0.38095039])                                               ,
       array([1., 0.])], dtype=object), array([array([3.04168454e-01, 3.62381477e-01, 2.45536141e-01, 7.80569562e-02,
              9.75426951e-03, 1.02702202e-04])                               ,
       array([0.01023262, 0.03477851, 0.07169353, 0.12479456, 0.22759865,
              0.53090213])                                               ,
       array([0., 1.])], dtype=object), array([array([0.33042744, 0.32300181, 0.22870659, 0.09489426, 0.02096236,
              0.00200754])                                               ,
       array([0.00511631, 0.02250556, 0.05323602, 0.09824405, 0.17619661,
              0.64470145])                                               ,
       array([0., 1.])], dtype=object)]",1.1911414702985788
