,tumor_state,resistance_state,treatment_state,tumor_beliefs,resistance_beliefs,treatment_beliefs,policy,expected_utility,expected_info_gain,expected_states_under_best_policy,testing_state,resistance_entropy,tumor_entropy
0,0,0,dont treat,[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[1.e+00 1.e-16],[[0. 0. 0. 0. 0.]],-7.589926638963705,0.4505613214014733,"[array([array([0.11666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667,
              0.21666667])                                               ,
       array([0.2575    , 0.16666667, 0.16666667, 0.16666667, 0.16666667,
              0.07583333])                                               ,
       array([1., 0.]), array([0.83333333, 0.16666667]), array([1., 0.])],
      dtype=object)]",not testing,1.791759469228055,1.791759469228055
1,0,0,dont treat,[0.11666667 0.16666667 0.16666667 0.16666667 0.16666667 0.21666667],[0.2575     0.16666667 0.16666667 0.16666667 0.16666667 0.07583333],[1.00000000e+00 1.00073708e-32],[[0. 0. 0. 0. 0.]],-9.089873235120653,0.52265669263439,"[array([array([0.08166667, 0.15166667, 0.16666667, 0.16666667, 0.16666667,
              0.26666667])                                               ,
       array([0.35533333, 0.16666667, 0.16666667, 0.16666667, 0.1133475 ,
              0.03131917])                                               ,
       array([1., 0.]), array([0.78333333, 0.21666667]), array([1., 0.])],
      dtype=object)]",not testing,1.7394563666987035,1.7765259553862842
2,0,0,dont treat,[0.08166667 0.15166667 0.16666667 0.16666667 0.16666667 0.26666667],[0.35533333 0.16666667 0.16666667 0.16666667 0.1133475  0.03131917],[1.00000000e+00 1.00101951e-32],[[0. 0. 0. 0. 0.]],-10.589819831277598,0.5799152839532691,"[array([array([0.05716667, 0.13066667, 0.16216667, 0.16666667, 0.16666667,
              0.31666667])                                               ,
       array([0.45966667, 0.16666667, 0.16666667, 0.13328887, 0.06199776,
              0.01171337])                                               ,
       array([1., 0.]), array([0.73333333, 0.26666667]), array([1., 0.])],
      dtype=object)]",not testing,1.6188086502443695,1.7389858619923235
3,0,0,dont treat,[0.05716667 0.13066667 0.16216667 0.16666667 0.16666667 0.31666667],[0.45966667 0.16666667 0.16666667 0.13328887 0.06199776 0.01171337],[1.00000000e+00 1.00134053e-32],[[0. 0. 0. 0. 0.]],-12.089766427434563,0.6243314191066187,"[array([array([0.04001667, 0.10861667, 0.15271667, 0.16531667, 0.16666667,
              0.36666667])                                               ,
       array([0.5699775 , 0.16666667, 0.14457507, 0.08610378, 0.02871628,
              0.0039607 ])                                               ,
       array([1., 0.]), array([0.68333333, 0.31666667]), array([1., 0.])],
      dtype=object)]",not testing,1.447623518821959,1.685911431700608
4,0,0,dont treat,[0.04001667 0.10861667 0.15271667 0.16531667 0.16666667 0.36666667],[0.5699775  0.16666667 0.14457507 0.08610378 0.02871628 0.0039607 ],[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-13.589713023591518,0.6571578740325082,"[array([array([0.02801167, 0.08803667, 0.13948667, 0.16153667, 0.16626167,
              0.41666667])                                               ,
       array([0.68572533, 0.15132434, 0.10396752, 0.04624891, 0.01152385,
              0.00121005])                                               ,
       array([1., 0.]), array([0.63333333, 0.36666667]), array([1., 0.])],
      dtype=object)]",not testing,1.2336490681999308,1.6209504113544897
5,0,0,dont treat,[0.02801167 0.08803667 0.13948667 0.16153667 0.16626167 0.41666667],[0.68572533 0.15132434 0.10396752 0.04624891 0.01152385 0.00121005],[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-15.089659619748453,0.6791933785266938,"[array([array([0.01960817, 0.07002917, 0.12405167, 0.15492167, 0.16484417,
              0.46654517])                                               ,
       array([7.95259588e-01, 1.17045691e-01, 6.21886164e-02, 2.11136054e-02,
              4.05833040e-03, 3.34168948e-04])                               ,
       array([1., 0.]), array([0.58333333, 0.41666667]), array([1., 0.])],
      dtype=object)]",not testing,0.9815271779300929,1.546402795201581
6,0,0,dont treat,[0.01960817 0.07002917 0.12405167 0.15492167 0.16484417 0.46654517],"[7.95259588e-01 1.17045691e-01 6.21886164e-02 2.11136054e-02
 4.05833040e-03 3.34168948e-04]",[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-16.58596134567674,0.6909071681281547,"[array([array([0.01372572, 0.05490287, 0.10784492, 0.14566067, 0.16186742,
              0.51599842])                                               ,
       array([8.83040756e-01, 7.59043379e-02, 3.13834461e-02, 8.32260087e-03,
              1.26530794e-03, 8.35510874e-05])                               ,
       array([1., 0.]), array([0.53345483, 0.46654517]), array([1., 0.])],
      dtype=object)]",not testing,0.7124794656162529,1.463966362991029
7,0,0,dont treat,[0.01372572 0.05490287 0.10784492 0.14566067 0.16186742 0.51599842],"[8.83040756e-01 7.59043379e-02 3.13834461e-02 8.32260087e-03
 1.26530794e-03 8.35510874e-05]",[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-18.06950602580472,0.6926353630451008,"[array([array([0.009608  , 0.04254972, 0.0919623 , 0.13431594, 0.15700539,
              0.56455864])                                               ,
       array([9.41716564e-01, 4.14886594e-02, 1.35568797e-02, 2.86715031e-03,
              3.51782578e-04, 1.89641656e-05])                               ,
       array([1., 0.]), array([0.48400158, 0.51599842]), array([1., 0.])],
      dtype=object)]",not testing,0.4632541729780723,1.3751581034776992
8,0,0,dont treat,[0.009608   0.04254972 0.0919623  0.13431594 0.15700539 0.56455864],"[9.41716564e-01 4.14886594e-02 1.35568797e-02 2.86715031e-03
 3.51782578e-04 1.89641656e-05]",[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-19.52626090975201,0.6847883885841739,"[array([array([0.0067256 , 0.03266721, 0.07713853, 0.12160985, 0.15019856,
              0.61166026])                                               ,
       array([9.74624075e-01, 1.93340425e-02, 5.07811959e-03, 8.72039039e-04,
              8.78013886e-05, 3.92238063e-06])                               ,
       array([1., 0.]), array([0.43544136, 0.56455864]), array([1., 0.])],
      dtype=object)]",not testing,0.26667733508233116,1.2815236853751921
9,1,0,dont treat,[0.0067256  0.03266721 0.07713853 0.12160985 0.15019856 0.61166026],"[9.74624075e-01 1.93340425e-02 5.07811959e-03 8.72039039e-04
 8.78013886e-05 3.92238063e-06]",[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-20.939259126604256,0.667999864493459,"[array([array([0.00470792, 0.02488472, 0.06379713, 0.10826845, 0.14162194,
              0.65671983])                                               ,
       array([9.90296813e-01, 7.77777634e-03, 1.66854824e-03, 2.36313168e-04,
              1.98066227e-05, 7.42784697e-07])                               ,
       array([1., 0.]), array([0.38833974, 0.61166026]), array([1., 0.])],
      dtype=object)]",not testing,0.13518008871216922,1.184697271619959
10,1,0,dont treat,[0.00470792 0.02488472 0.06379713 0.10826845 0.14162194 0.65671983],"[9.90296813e-01 7.77777634e-03 1.66854824e-03 2.36313168e-04
 1.98066227e-05 7.42784697e-07]",[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-22.290998009523356,0.6431874426102444,"[array([array([0.00329554, 0.01883168, 0.05212341, 0.09492706, 0.1316159 ,
              0.69920641])                                               ,
       array([9.96718480e-01, 2.73373415e-03, 4.86033198e-04, 5.75560271e-05,
              4.06669590e-06, 1.29509618e-07])                               ,
       array([1., 0.]), array([0.34328017, 0.65671983]), array([1., 0.])],
      dtype=object)]",not testing,0.06029859069137782,1.086370648325261
11,2,0,dont treat,[0.00329554 0.01883168 0.05212341 0.09492706 0.1316159  0.69920641],"[9.96718480e-01 2.73373415e-03 4.86033198e-04 5.75560271e-05
 4.06669590e-06 1.29509618e-07]",[1.e+00 1.e-32],[[0. 0. 0. 0. 0.]],-23.565550131686756,0.6115353919632152,"[array([array([0.00230688, 0.01417084, 0.04213589, 0.08208596, 0.12060924,
              0.73869118])                                               ,
       array([9.99010602e-01, 8.49130957e-04, 1.26773020e-04, 1.27074611e-05,
              7.65529953e-07, 2.09212226e-08])                               ,
       array([1., 0.]), array([0.30079359, 0.69920641]), array([1., 0.])],
      dtype=object)]",not testing,0.02373336428906676,0.9882198409832228
